1,6.153,1467952321,user_group - 1,6.147583,,{}
2,9.531,1467952324,user_group - 1,3.377642,,{}
3,11.330,1467952326,user_group - 1,1.798394,,{}
4,15.968,1467952330,user_group - 1,4.638098,,{}
5,18.723,1467952333,user_group - 1,2.755090,,{}
6,20.650,1467952335,user_group - 1,1.926734,,{}
7,21.771,1467952336,user_group - 1,1.120974,,{}
8,26.819,1467952341,user_group - 1,5.047421,,{}
9,29.017,1467952343,user_group - 1,2.197758,,{}
10,29.740,1467952344,user_group - 1,0.722689,,{}
11,30.694,1467952345,user_group - 1,0.954150,,{}
