1,0.817,1467952378,user_group - 1,0.813082,,{}
2,1.669,1467952379,user_group - 1,0.850905,,{}
3,2.424,1467952380,user_group - 1,0.754919,,{}
4,3.298,1467952381,user_group - 1,0.873567,,{}
5,4.010,1467952382,user_group - 1,0.712266,,{}
6,4.683,1467952382,user_group - 1,0.672471,,{}
7,5.568,1467952383,user_group - 1,0.884805,,{}
8,6.347,1467952384,user_group - 1,0.779217,,{}
9,7.122,1467952385,user_group - 1,0.774543,,{}
10,7.913,1467952386,user_group - 1,0.790500,,{}
11,8.662,1467952386,user_group - 1,0.749229,,{}
12,9.480,1467952387,user_group - 1,0.817760,,{}
13,10.218,1467952388,user_group - 1,0.737836,,{}
14,10.999,1467952389,user_group - 1,0.780277,,{}
15,11.680,1467952389,user_group - 1,0.681552,,{}
16,12.463,1467952390,user_group - 1,0.782146,,{}
17,13.237,1467952391,user_group - 1,0.774363,,{}
18,14.294,1467952392,user_group - 1,1.056759,,{}
19,15.478,1467952393,user_group - 1,1.183543,,{}
20,16.328,1467952394,user_group - 1,0.849570,,{}
21,17.171,1467952395,user_group - 1,0.842775,,{}
22,18.126,1467952396,user_group - 1,0.955446,,{}
23,19.153,1467952397,user_group - 1,1.026105,,{}
24,19.886,1467952398,user_group - 1,0.733414,,{}
25,20.708,1467952398,user_group - 1,0.821701,,{}
26,23.537,1467952401,user_group - 1,2.828301,,{}
27,24.264,1467952402,user_group - 1,0.727675,,{}
28,25.039,1467952403,user_group - 1,0.774417,,{}
29,26.206,1467952404,user_group - 1,1.167117,,{}
30,28.460,1467952406,user_group - 1,2.253653,,{}
31,29.456,1467952407,user_group - 1,0.995962,,{}
32,30.221,1467952408,user_group - 1,0.764727,,{}
